Ciudad,Aeropuerto más cercano,Distancia (km)
Las Vegas,LAX - Los Angeles International Airport,386.24955825549574
Sacramento,SFO - San Francisco International Airport,131.86287145888082
Tulsa,MCI - Kansas City International Airport,366.9444480979285
Wichita,MCI - Kansas City International Airport,289.8050488495872
Louisville,IND - Indianapolis International Airport,169.12808419822915
Omaha,MCI - Kansas City International Airport,241.5385211168531
Des Moines,MCI - Kansas City International Airport,270.7150669039399
Oklahoma City,DFW - Dallas/Fort Worth International Airport,289.82699377431754
Memphis,BNA - Nashville International Airport,323.68783332757414
Rochester,EWR - Newark Liberty International Airport,395.4279004983607
Knoxville,BNA - Nashville International Airport,248.56008808987065
Buffalo,CLE - Cleveland Hopkins International Airport,294.77075959128564
Grand Rapids,MKE - General Mitchell International Airport,181.382505181838
Lincoln,MCI - Kansas City International Airport,238.81745778402552
Toledo,DTW - Detroit Metropolitan Wayne County Airport,64.05483668009605
Norfolk,RDU - Raleigh-Durham International Airport,248.43424054799513
Madison,MKE - General Mitchell International Airport,121.74604353386592
Richmond,IAD - Washington Dulles International Airport,156.3503937793974
Harrisburg,BWI - Baltimore/Wash International Thurgood Marshall Airport,122.72575223474564
Palm Springs,SAN - San Diego International Airport,135.51795922818687
Sioux Falls,MSP - Minneapolis-St. Paul International Airport,316.4397187749032
Birmingham,ATL - Hartsfield-Jackson Atlanta International Airport,220.32997386494867
Charleston,CLT - Charlotte Douglas International Airport,285.11817683793794
Cedar Rapids,ORD - O'Hare International Airport,311.2531148039004
